J         CT        CP        eta
0.403500  0.082778  0.046563  0.717317
0.426654  0.076342  0.044737  0.728050
0.448554  0.070114  0.042785  0.735066
0.472055  0.063814  0.040533  0.743172
0.496335  0.058156  0.038452  0.750663
0.519734  0.052688  0.036241  0.755579
0.544502  0.047508  0.034053  0.759640
0.566302  0.042566  0.031827  0.757361
0.591452  0.037353  0.029442  0.750369
0.616815  0.032268  0.027142  0.733279
0.641592  0.026863  0.024607  0.700393
0.663174  0.022440  0.022492  0.661607
0.686966  0.017586  0.020128  0.600183
0.711639  0.012420  0.017458  0.506259
0.733768  0.007584  0.014789  0.376286
0.759869  0.002428  0.011904  0.154932
0.784425 -0.002979  0.008716 -0.268122
0.783221 -0.003031  0.008654 -0.274324
0.783221 -0.003031  0.008654 -0.274324
0.783221 -0.003031  0.008654 -0.274324
0.783221 -0.003031  0.008654 -0.274324
0.783221 -0.003031  0.008654 -0.274324
0.783221 -0.003031  0.008654 -0.274324
0.783221 -0.003031  0.008654 -0.274324
